Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
201.034,-0.1668161,0.1660136,0.06910643,-0.06153032,0.1112392,-0.03970091,0.006275125,-0.00201498,-0.1579973,-0.06257,0.003603656,-0.04991921,-0.02671251,-0.07667784,-0.1709333,-0.2017721,0.02973659,0.05470777,-0.0294392,-0.2679943,0.2524382,0.0449197,1.068079,0.01687544,-0.00578407,0.07177254,-0.1021727
201.472,-0.1571616,0.1005059,0.004114241,-0.06259909,0.02454367,-0.03969062,0.08083525,0.04123902,-0.1054351,-0.09517919,-0.05095356,-0.05580457,-0.00780569,-0.02645952,-0.08862144,0.06717348,-0.09568492,0.07999028,0.04392778,-0.1093131,0.1485756,0.08952434,0.1955413,0.07911066,0.0564946,0.09334918,0.01986212
201.909,-0.1578904,0.0795987,-0.07995011,-0.01524834,-0.04928711,-0.01365817,0.1036235,0.03853405,0.02447023,-0.1234028,-0.06941916,-0.06474024,0.001241404,-0.006275133,0.007377092,0.1203364,-0.110459,0.02987575,0.0180696,-0.09952957,0.07268796,0.02455826,0.03216279,0.04670224,0.04237553,0.03433728,-0.01164899
202.347,-0.1498966,0.1238256,-0.1098255,0.05814126,-0.0304979,0.0830068,0.1055559,0.04783018,0.1471635,-0.0299143,-0.04352368,-0.03901871,0.001250171,-0.01780153,0.0723015,0.0440012,0.01710372,-0.07596533,-0.06659432,-0.1360249,-0.03181294,-0.07148691,-0.1221475,-0.08575962,-0.002590132,-0.05223214,-0.1326064
202.785,-0.03672911,0.04887046,-0.01961279,-0.0003863539,0.05314102,0.09828249,0.1466603,-0.04377553,0.2170404,0.07144415,-0.09903674,0.03832543,-0.04208236,0.01827852,0.02332843,-0.2780504,-0.03065403,-0.3505156,-0.3934865,-0.2901654,-0.3350296,-0.3503824,-0.3686983,-0.4212571,-0.08029374,-0.2583196,-0.2876351
203.223,0.04223715,-0.0392371,0.01390922,-0.09482412,0.06666959,0.03261542,0.1063678,-0.1084586,0.1438505,0.08131506,-0.1517797,0.08210481,-0.05462215,0.02789188,-0.0287145,-0.5664211,-0.1143453,-0.6378497,-0.7248287,-0.4408757,-0.6482189,-0.6180694,-0.336365,-0.700122,-0.1066119,-0.3029271,-0.2993395
203.661,0.1254914,-0.09288875,0.01674593,-0.1242926,0.04022308,-0.02586091,0.07023185,-0.1398804,-0.1038383,0.04181303,-0.1763434,0.08518305,-0.07104051,0.04134652,-0.1045971,-0.1622008,-0.1996031,-0.2849661,-0.3584871,-0.1375499,-0.3401359,-0.2399389,0.02813739,-0.2923968,0.001805018,0.02721404,-0.033906
204.099,0.2150024,-0.1238372,0.02381727,-0.08999627,0.001731327,-0.0585947,0.06219674,-0.1478959,-0.3035439,-0.009052226,-0.1780303,0.0754799,-0.1128029,0.08186167,-0.2028076,-0.005707293,-0.2318593,-0.1599348,-0.2285787,-0.08132282,-0.230595,-0.1251527,-0.06206173,-0.1360505,-0.06107544,0.01932436,-0.05836826
204.537,0.2417449,-0.1744401,0.07479306,-0.04830371,-0.008443164,-0.08442937,0.09308729,-0.1631239,-0.05316266,-0.02223665,-0.1849855,0.09981326,-0.1878065,0.1566451,-0.3138859,-0.3939638,-0.1412606,-0.5550882,-0.7040474,-0.4787037,-0.5984384,-0.5961353,-0.5833077,-0.4935381,-0.5866343,-0.3942091,-0.45932
204.975,0.1763931,-0.2100274,0.07307414,-0.06114996,-0.0118258,-0.07698964,0.08150187,-0.213889,0.1108308,-0.03092606,-0.1865977,0.06368878,-0.2126061,0.1598083,-0.3073754,0.98541,-0.01646745,0.8868782,1.017411,1.057412,0.9191108,2.32185,0.6203615,0.7178385,1.049208,0.7877534,0.7260263
205.413,0.07865602,-0.02093129,-0.07709809,0.02728076,-0.07194013,0.01411943,0.02522546,-0.1004005,0.09374662,-0.1054604,-0.04260085,-0.06830362,-0.1088433,0.165479,-0.1507341,0.768702,0.09257804,0.7453157,0.4595164,0.2970039,0.7780828,0.5434231,0.3603218,0.6775419,0.6564844,0.7378706,0.5172952
